Place name,Month,Year,Station number,Rentals,Returns,,,,,,,
Royal Avenue / Castlecourt,May,2016,3925,285,328,,,,,,,
Smithfield / Winetavern Street,May,2016,3913,140,116,,,,,,,
St George's Market / Cromac Square,May,2016,3906,334,328,,,,,,,
Titanic Belfast Met,May,2016,3932,1230,1263,,,,,,,
Victoria Square / Victoria Street,May,2016,3903,437,476,,,,,,,
Waterfront,May,2016,3908,777,822,,,,,,,
Writer's Square / St Anne's Cathedral,May,2016,3931,272,243,,,,,,,
Alfred Street / St Malachy's Church,June,2016,3923,1004,861,,,,,,,
Arthur Street / Chichester Street,June,2016,3929,880,896,,,,,,,
Bankmore Square / Dublin Road,June,2016,3918,824,752,,,,,,,
Botanic Avenue / Shaftesbury Square,June,2016,3909,650,687,,,,,,,
Bradbury Place,June,2016,3924,724,680,,,,,,,
Carrick Hill/St Patricks Church,June,2016,3915,313,276,,,,,,,
Castle Place / Royal Avenue,June,2016,3912,833,998,,,,,,,
Cathedral Gardens / York Street,June,2016,3914,415,350,,,,,,,
Central Station / East Bridge Street,June,2016,3930,265,358,,,,,,,
Central Station / Mays Meadow,June,2016,3905,943,1106,,,,,,,
City Hall,June,2016,3902,962,871,,,,,,,
College Square East,June,2016,3919,183,173,,,,,,,
Corporation Square,June,2016,3922,723,710,,,,,,,
Cotton Court / Waring Street,June,2016,3926,238,247,,,,,,,
Donegall Quay,June,2016,3904,1017,933,,,,,,,
Dunbar Link / Gordon Street,June,2016,3916,216,208,,,,,,,
Europa Bus Station / Blackstaff Square,June,2016,3910,625,714,,,,,,,
Gasworks (Cromac Street),June,2016,3907,852,733,,,,,,,
Gasworks (Lagan Towpath),June,2016,3927,915,960,,,,,,,
Great Victoria Street / Hope Street,June,2016,3911,525,562,,,,,,,
Linenhall Street / Donegall Square South,June,2016,3928,429,362,,,,,,,
Millfield / Divis Street,June,2016,3920,235,219,,,,,,,
North Street / Waring Street,June,2016,3917,234,332,,,,,,,
Odyssey / Sydenham Road,June,2016,3921,1203,1139,,,,,,,
Queens University / Botanic Gardens ,June,2016,3934,756,835,,,,,,,
Queens University / University Road ,June,2016,3933,928,909,,,,,,,
Royal Avenue / Castlecourt,June,2016,3925,294,321,,,,,,,
Smithfield / Winetavern Street,June,2016,3913,130,103,,,,,,,
St George's Market / Cromac Square,June,2016,3906,347,337,,,,,,,
Titanic Belfast Met,June,2016,3932,1258,1258,,,,,,,
Victoria Square / Victoria Street,June,2016,3903,424,442,,,,,,,
Waterfront,June,2016,3908,788,815,,,,,,,
Writer's Square / St Anne's Cathedral,June,2016,3931,196,179,,,,,,,
Alfred Street / St Malachy's Church,July,2016,3923,791,699,,,,,,,
Arthur Street / Chichester Street,July,2016,3929,750,802,,,,,,,
Bankmore Square / Dublin Road,July,2016,3918,609,566,,,,,,,
Belfast City Hospital Lisburn Rd,July,2016,3935,27,18,,,,,,,
Botanic Avenue / Shaftesbury Square,July,2016,3909,759,735,,,,,,,
Bradbury Place,July,2016,3924,606,514,,,,,,,
Carrick Hill/St Patricks Church,July,2016,3915,221,206,,,,,,,
Castle Place / Royal Avenue,July,2016,3912,786,827,,,,,,,
Cathedral Gardens / York Street,July,2016,3914,309,289,,,,,,,
Central Station / East Bridge Street,July,2016,3930,205,227,,,,,,,
Central Station / Mays Meadow,July,2016,3905,739,876,,,,,,,
City Hall,July,2016,3902,805,831,,,,,,,
College Square East,July,2016,3919,178,152,,,,,,,
Corporation Square,July,2016,3922,649,651,,,,,,,
Cotton Court / Waring Street,July,2016,3926,210,240,,,,,,,
Donegall Quay,July,2016,3904,895,851,,,,,,,
Dunbar Link / Gordon Street,July,2016,3916,147,188,,,,,,,
Europa Bus Station / Blackstaff Square,July,2016,3910,530,566,,,,,,,
Gasworks (Cromac Street),July,2016,3907,606,475,,,,,,,
Gasworks (Lagan Towpath),July,2016,3927,800,833,,,,,,,
Great Victoria Street / Hope Street,July,2016,3911,458,455,,,,,,,
Linenhall Street / Donegall Square South,July,2016,3928,305,262,,,,,,,
Millfield / Divis Street,July,2016,3920,150,150,,,,,,,
North Street / Waring Street,July,2016,3917,219,260,,,,,,,
Odyssey / Sydenham Road,July,2016,3921,1086,981,,,,,,,
Queens University / Botanic Gardens ,July,2016,3934,624,701,,,,,,,
Queens University / University Road ,July,2016,3933,780,810,,,,,,,
Royal Avenue / Castlecourt,July,2016,3925,195,238,,,,,,,
Royal Victoria Hospital,July,2016,3936,1,0,,,,,,,
Smithfield / Winetavern Street,July,2016,3913,100,75,,,,,,,
St George's Market / Cromac Square,July,2016,3906,261,250,,,,,,,
Titanic Belfast Met,July,2016,3932,997,1050,,,,,,,
Victoria Square / Victoria Street,July,2016,3903,406,425,,,,,,,
Waterfront,July,2016,3908,571,573,,,,,,,
Writer's Square / St Anne's Cathedral,July,2016,3931,158,146,,,,,,,
Alfred Street / St Malachy's Church,August,2016,3923,950,852,,,,,,,
Arthur Street / Chichester Street,August,2016,3929,841,958,,,,,,,
Bankmore Square / Dublin Road,August,2016,3918,698,705,,,,,,,
Belfast City Hospital Lisburn Rd,August,2016,3935,663,602,,,,,,,
Botanic Avenue / Shaftesbury Square,August,2016,3909,850,859,,,,,,,
Bradbury Place,August,2016,3924,563,449,,,,,,,
Carrick Hill/St Patricks Church,August,2016,3915,330,243,,,,,,,
Castle Place / Royal Avenue,August,2016,3912,1022,1063,,,,,,,
Cathedral Gardens / York Street,August,2016,3914,306,259,,,,,,,
Central Station / East Bridge Street,August,2016,3930,290,321,,,,,,,
Central Station / Mays Meadow,August,2016,3905,755,959,,,,,,,
City Hall,August,2016,3902,1017,1021,,,,,,,
College Square East,August,2016,3919,186,180,,,,,,,
Corporation Square,August,2016,3922,866,882,,,,,,,
Cotton Court / Waring Street,August,2016,3926,330,351,,,,,,,
Donegall Quay,August,2016,3904,1163,1084,,,,,,,
Dunbar Link / Gordon Street,August,2016,3916,222,244,,,,,,,
Europa Bus Station / Blackstaff Square,August,2016,3910,593,663,,,,,,,
Gasworks (Cromac Street),August,2016,3907,772,629,,,,,,,
Gasworks (Lagan Towpath),August,2016,3927,919,938,,,,,,,
Great Victoria Street / Hope Street,August,2016,3911,572,559,,,,,,,
Linenhall Street / Donegall Square South,August,2016,3928,422,379,,,,,,,
Millfield / Divis Street,August,2016,3920,167,156,,,,,,,
North Street / Waring Street,August,2016,3917,244,313,,,,,,,
Odyssey / Sydenham Road,August,2016,3921,1403,1294,,,,,,,
Queens University / Botanic Gardens ,August,2016,3934,798,824,,,,,,,
Queens University / University Road ,August,2016,3933,776,798,,,,,,,
Royal Avenue / Castlecourt,August,2016,3925,325,349,,,,,,,
Royal Victoria Hospital,August,2016,3936,140,138,,,,,,,
Smithfield / Winetavern Street,August,2016,3913,155,131,,,,,,,
St George's Market / Cromac Square,August,2016,3906,366,335,,,,,,,
Titanic Belfast Met,August,2016,3932,1267,1357,,,,,,,
Victoria Square / Victoria Street,August,2016,3903,421,425,,,,,,,
Waterfront,August,2016,3908,729,721,,,,,,,
Writer's Square / St Anne's Cathedral,August,2016,3931,187,193,,,,,,,
Alfred Street / St Malachy's Church,September,2016,3923,986,920,,,,,,,
Arthur Street / Chichester Street,September,2016,3929,933,1016,,,,,,,
Bankmore Square / Dublin Road,September,2016,3918,760,694,,,,,,,
Belfast City Hospital Lisburn Rd,September,2016,3935,620,608,,,,,,,
Botanic Avenue / Shaftesbury Square,September,2016,3909,991,987,,,,,,,
Bradbury Place,September,2016,3924,528,382,,,,,,,
Carrick Hill/St Patricks Church,September,2016,3915,269,257,,,,,,,
Castle Place / Royal Avenue,September,2016,3912,933,1027,,,,,,,
Cathedral Gardens / York Street,September,2016,3914,390,372,,,,,,,
Central Station / East Bridge Street,September,2016,3930,249,353,,,,,,,
Central Station / Mays Meadow,September,2016,3905,654,862,,,,,,,
City Hall,September,2016,3902,945,895,,,,,,,
College Square East,September,2016,3919,223,219,,,,,,,
Corporation Square,September,2016,3922,878,918,,,,,,,
Cotton Court / Waring Street,September,2016,3926,264,297,,,,,,,
Donegall Quay,September,2016,3904,1157,1089,,,,,,,
Dunbar Link / Gordon Street,September,2016,3916,206,213,,,,,,,
Europa Bus Station / Blackstaff Square,September,2016,3910,640,693,,,,,,,
Gasworks (Cromac Street),September,2016,3907,747,669,,,,,,,
Gasworks (Lagan Towpath),September,2016,3927,957,1002,,,,,,,
Great Victoria Street / Hope Street,September,2016,3911,540,565,,,,,,,
Linenhall Street / Donegall Square South,September,2016,3928,471,429,,,,,,,
Mater Hospital/Crumlin Road,September,2016,3937,50,45,,,,,,,
Millfield / Divis Street,September,2016,3920,243,191,,,,,,,
North Street / Waring Street,September,2016,3917,255,289,,,,,,,
Odyssey / Sydenham Road,September,2016,3921,1232,1091,,,,,,,
Queens University / Botanic Gardens ,September,2016,3934,691,726,,,,,,,
Queens University / University Road ,September,2016,3933,784,736,,,,,,,
Royal Avenue / Castlecourt,September,2016,3925,300,328,,,,,,,
Royal Victoria Hospital,September,2016,3936,140,135,,,,,,,
Smithfield / Winetavern Street,September,2016,3913,121,96,,,,,,,
St George's Market / Cromac Square,September,2016,3906,396,375,,,,,,,
Titanic Belfast Met,September,2016,3932,1335,1366,,,,,,,
Victoria Square / Victoria Street,September,2016,3903,501,526,,,,,,,
Waterfront,September,2016,3908,788,765,,,,,,,
Writer's Square / St Anne's Cathedral,September,2016,3931,227,207,,,,,,,
Alfred Street / St Malachy's Church,October,2016,3923,973,901,,,,,,,
Antrim Road / Duncairn Centre,October,2016,3943,53,30,,,,,,,
Arthur Street / Chichester Street,October,2016,3929,965,1056,,,,,,,
Bankmore Square / Dublin Road,October,2016,3918,668,619,,,,,,,
Belfast City Hospital Lisburn Rd,October,2016,3935,597,546,,,,,,,
Botanic Avenue / Shaftesbury Square,October,2016,3909,927,900,,,,,,,
Bradbury Place,October,2016,3924,579,450,,,,,,,
Carrick Hill/St Patricks Church,October,2016,3915,311,254,,,,,,,
Castle Place / Royal Avenue,October,2016,3912,874,981,,,,,,,
Cathedral Gardens / York Street,October,2016,3914,480,449,,,,,,,
Central Station / East Bridge Street,October,2016,3930,245,345,,,,,,,
Central Station / Mays Meadow,October,2016,3905,638,854,,,,,,,
City Hall,October,2016,3902,1019,961,,,,,,,
College Square East,October,2016,3919,350,334,,,,,,,
Corporation Square,October,2016,3922,854,914,,,,,,,
Cotton Court / Waring Street,October,2016,3926,285,295,,,,,,,
Donegall Quay,October,2016,3904,1083,1009,,,,,,,
Dunbar Link / Gordon Street,October,2016,3916,209,209,,,,,,,
Europa Bus Station / Blackstaff Square,October,2016,3910,642,696,,,,,,,
Gasworks (Cromac Street),October,2016,3907,725,603,,,,,,,
Gasworks (Lagan Towpath),October,2016,3927,907,1007,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,October,2016,3942,1,2,,,,,,,
Great Victoria Street / Hope Street,October,2016,3911,586,638,,,,,,,
Linenhall Street / Donegall Square South,October,2016,3928,468,484,,,,,,,
Mater Hospital/Crumlin Road,October,2016,3937,55,44,,,,,,,
Millfield / Divis Street,October,2016,3920,228,211,,,,,,,
North Street / Waring Street,October,2016,3917,228,274,,,,,,,
Odyssey / Sydenham Road,October,2016,3921,1300,1162,,,,,,,
Queens University / Botanic Gardens ,October,2016,3934,764,794,,,,,,,
Queens University / University Road ,October,2016,3933,811,807,,,,,,,
Royal Avenue / Castlecourt,October,2016,3925,347,331,,,,,,,
Royal Victoria Hospital,October,2016,3936,128,137,,,,,,,
Shankill Leisure Centre/ Shankill Road,October,2016,3938,39,35,,,,,,,
Smithfield / Winetavern Street,October,2016,3913,146,89,,,,,,,
St George's Market / Cromac Square,October,2016,3906,377,345,,,,,,,
Titanic Belfast Met,October,2016,3932,1261,1293,,,,,,,
Victoria Square / Victoria Street,October,2016,3903,446,465,,,,,,,
Waterfront,October,2016,3908,760,751,,,,,,,
Writer's Square / St Anne's Cathedral,October,2016,3931,191,176,,,,,,,
Alfred Street / St Malachy's Church,November,2016,3923,756,700,,,,,,,
Antrim Road / Duncairn Centre,November,2016,3943,81,68,,,,,,,
Arthur Street / Chichester Street,November,2016,3929,814,900,,,,,,,
Bankmore Square / Dublin Road,November,2016,3918,628,545,,,,,,,
Belfast City Hospital Lisburn Rd,November,2016,3935,561,535,,,,,,,
Botanic Avenue / Shaftesbury Square,November,2016,3909,750,720,,,,,,,
Bradbury Place,November,2016,3924,462,325,,,,,,,
Carrick Hill/St Patricks Church,November,2016,3915,235,185,,,,,,,
Castle Place / Royal Avenue,November,2016,3912,754,856,,,,,,,
Cathedral Gardens / York Street,November,2016,3914,371,329,,,,,,,
Central Station / East Bridge Street,November,2016,3930,277,384,,,,,,,
Central Station / Mays Meadow,November,2016,3905,677,808,,,,,,,
City Hall,November,2016,3902,850,876,,,,,,,
College Square East,November,2016,3919,392,335,,,,,,,
Corporation Square,November,2016,3922,874,902,,,,,,,
Cotton Court / Waring Street,November,2016,3926,213,228,,,,,,,
CS Lewis Square,November,2016,3944,78,77,,,,,,,
Donegall Quay,November,2016,3904,820,774,,,,,,,
Dunbar Link / Gordon Street,November,2016,3916,183,193,,,,,,,
Europa Bus Station / Blackstaff Square,November,2016,3910,567,578,,,,,,,
Gasworks (Cromac Street),November,2016,3907,697,609,,,,,,,
Gasworks (Lagan Towpath),November,2016,3927,826,937,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,November,2016,3942,2,6,,,,,,,
Great Victoria Street / Hope Street,November,2016,3911,472,508,,,,,,,
Linenhall Street / Donegall Square South,November,2016,3928,385,358,,,,,,,
Mater Hospital/Crumlin Road,November,2016,3937,47,43,,,,,,,
Millfield / Divis Street,November,2016,3920,158,146,,,,,,,
North Street / Waring Street,November,2016,3917,207,255,,,,,,,
Odyssey / Sydenham Road,November,2016,3921,1163,1081,,,,,,,
Queens University / Botanic Gardens ,November,2016,3934,559,581,,,,,,,
Queens University / University Road ,November,2016,3933,734,704,,,,,,,
Royal Avenue / Castlecourt,November,2016,3925,291,318,,,,,,,
Royal Victoria Hospital,November,2016,3936,118,124,,,,,,,
Shankill Leisure Centre/ Shankill Road,November,2016,3938,54,51,,,,,,,
Smithfield / Winetavern Street,November,2016,3913,115,58,,,,,,,
St George's Market / Cromac Square,November,2016,3906,317,307,,,,,,,
Titanic Belfast Met,November,2016,3932,968,981,,,,,,,
Victoria Square / Victoria Street,November,2016,3903,369,401,,,,,,,
Waterfront,November,2016,3908,644,656,,,,,,,
Writer's Square / St Anne's Cathedral,November,2016,3931,178,170,,,,,,,
Alfred Street / St Malachy's Church,December,2016,3923,603,544,,,,,,,
Antrim Road / Duncairn Centre,December,2016,3943,75,64,,,,,,,
Arthur Street / Chichester Street,December,2016,3929,732,821,,,,,,,
Bankmore Square / Dublin Road,December,2016,3918,483,388,,,,,,,
Belfast City Hospital Lisburn Rd,December,2016,3935,437,377,,,,,,,
Botanic Avenue / Shaftesbury Square,December,2016,3909,657,634,,,,,,,
Bradbury Place,December,2016,3924,345,232,,,,,,,
Carrick Hill/St Patricks Church,December,2016,3915,183,137,,,,,,,
Castle Place / Royal Avenue,December,2016,3912,681,745,,,,,,,
Cathedral Gardens / York Street,December,2016,3914,240,211,,,,,,,
Central Station / East Bridge Street,December,2016,3930,157,225,,,,,,,
Central Station / Mays Meadow,December,2016,3905,517,513,,,,,,,
City Hall,December,2016,3902,707,769,,,,,,,
College Square East,December,2016,3919,240,226,,,,,,,
Corporation Square,December,2016,3922,704,743,,,,,,,
Cotton Court / Waring Street,December,2016,3926,171,206,,,,,,,
CS Lewis Square,December,2016,3944,227,234,,,,,,,
Donegall Quay,December,2016,3904,739,688,,,,,,,
Dunbar Link / Gordon Street,December,2016,3916,135,141,,,,,,,
Europa Bus Station / Blackstaff Square,December,2016,3910,451,481,,,,,,,
Gasworks (Cromac Street),December,2016,3907,533,482,,,,,,,
Gasworks (Lagan Towpath),December,2016,3927,592,639,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,December,2016,3942,1,6,,,,,,,
Great Victoria Street / Hope Street,December,2016,3911,326,321,,,,,,,
Linenhall Street / Donegall Square South,December,2016,3928,271,272,,,,,,,
Mater Hospital/Crumlin Road,December,2016,3937,34,27,,,,,,,
Millfield / Divis Street,December,2016,3920,129,105,,,,,,,
North Street / Waring Street,December,2016,3917,172,231,,,,,,,
Odyssey / Sydenham Road,December,2016,3921,1016,947,,,,,,,
Queens University / Botanic Gardens ,December,2016,3934,307,387,,,,,,,
Queens University / University Road ,December,2016,3933,541,545,,,,,,,
Royal Avenue / Castlecourt,December,2016,3925,253,244,,,,,,,
Royal Victoria Hospital,December,2016,3936,79,99,,,,,,,
Shankill Leisure Centre/ Shankill Road,December,2016,3938,41,34,,,,,,,
Smithfield / Winetavern Street,December,2016,3913,103,64,,,,,,,
St George's Market / Cromac Square,December,2016,3906,213,210,,,,,,,
Titanic Belfast Met,December,2016,3932,824,836,,,,,,,
Victoria Square / Victoria Street,December,2016,3903,383,419,,,,,,,
Waterfront,December,2016,3908,535,566,,,,,,,
Writer's Square / St Anne's Cathedral,December,2016,3931,154,150,,,,,,,
Alfred Street / St Malachy's Church,January,2017,3923,706,662,,,,,,,
Antrim Road / Duncairn Centre,January,2017,3943,118,114,,,,,,,
Arthur Street / Chichester Street,January,2017,3929,739,835,,,,,,,
Bankmore Square / Dublin Road,January,2017,3918,568,491,,,,,,,
Belfast City Hospital Lisburn Rd,January,2017,3935,586,518,,,,,,,
Botanic Avenue / Shaftesbury Square,January,2017,3909,690,694,,,,,,,
Bradbury Place,January,2017,3924,376,267,,,,,,,
Carrick Hill/St Patricks Church,January,2017,3915,215,155,,,,,,,
Castle Place / Royal Avenue,January,2017,3912,730,805,,,,,,,
Cathedral Gardens / York Street,January,2017,3914,253,214,,,,,,,
Central Station / East Bridge Street,January,2017,3930,224,303,,,,,,,
Central Station / Mays Meadow,January,2017,3905,542,663,,,,,,,
City Hall,January,2017,3902,691,660,,,,,,,
College Square East,January,2017,3919,260,216,,,,,,,
Corporation Square,January,2017,3922,793,842,,,,,,,
Cotton Court / Waring Street,January,2017,3926,246,250,,,,,,,
CS Lewis Square,January,2017,3944,332,390,,,,,,,
Donegall Quay,January,2017,3904,710,648,,,,,,,
Dunbar Link / Gordon Street,January,2017,3916,149,143,,,,,,,
Europa Bus Station / Blackstaff Square,January,2017,3910,522,579,,,,,,,
Gasworks (Cromac Street),January,2017,3907,617,507,,,,,,,
Gasworks (Lagan Towpath),January,2017,3927,715,776,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,January,2017,3942,1,18,,,,,,,
Great Victoria Street / Hope Street,January,2017,3911,304,407,,,,,,,
Linenhall Street / Donegall Square South,January,2017,3928,360,366,,,,,,,
Mater Hospital/Crumlin Road,January,2017,3937,41,36,,,,,,,
Millfield / Divis Street,January,2017,3920,186,155,,,,,,,
North Street / Waring Street,January,2017,3917,199,234,,,,,,,
Odyssey / Sydenham Road,January,2017,3921,1062,996,,,,,,,
Queens University / Botanic Gardens ,January,2017,3934,528,533,,,,,,,
Queens University / University Road ,January,2017,3933,636,619,,,,,,,
Royal Avenue / Castlecourt,January,2017,3925,284,278,,,,,,,
Royal Victoria Hospital,January,2017,3936,99,144,,,,,,,
Shankill Leisure Centre/ Shankill Road,January,2017,3938,60,53,,,,,,,
Smithfield / Winetavern Street,January,2017,3913,116,80,,,,,,,
St George's Market / Cromac Square,January,2017,3906,231,220,,,,,,,
Titanic Belfast Met,January,2017,3932,890,900,,,,,,,
Victoria Square / Victoria Street,January,2017,3903,339,361,,,,,,,
Waterfront,January,2017,3908,614,597,,,,,,,
Writer's Square / St Anne's Cathedral,January,2017,3931,150,141,,,,,,,
Alfred Street / St Malachy's Church,February,2017,3923,660,609,,,,,,,
Antrim Road / Duncairn Centre,February,2017,3943,89,82,,,,,,,
Arthur Street / Chichester Street,February,2017,3929,647,739,,,,,,,
Bankmore Square / Dublin Road,February,2017,3918,541,463,,,,,,,
Belfast City Hospital Lisburn Rd,February,2017,3935,494,435,,,,,,,
Botanic Avenue / Shaftesbury Square,February,2017,3909,625,631,,,,,,,
Bradbury Place,February,2017,3924,334,215,,,,,,,
Carrick Hill/St Patricks Church,February,2017,3915,214,168,,,,,,,
Castle Place / Royal Avenue,February,2017,3912,689,714,,,,,,,
Cathedral Gardens / York Street,February,2017,3914,303,286,,,,,,,
Central Station / East Bridge Street,February,2017,3930,202,273,,,,,,,
Central Station / Mays Meadow,February,2017,3905,562,632,,,,,,,
City Hall,February,2017,3902,614,623,,,,,,,
College Square East,February,2017,3919,194,157,,,,,,,
Corporation Square,February,2017,3922,780,828,,,,,,,
Cotton Court / Waring Street,February,2017,3926,205,225,,,,,,,
CS Lewis Square,February,2017,3944,293,364,,,,,,,
Donegall Quay,February,2017,3904,645,587,,,,,,,
Dunbar Link / Gordon Street,February,2017,3916,153,150,,,,,,,
Europa Bus Station / Blackstaff Square,February,2017,3910,546,616,,,,,,,
Gasworks (Cromac Street),February,2017,3907,546,483,,,,,,,
Gasworks (Lagan Towpath),February,2017,3927,627,683,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,February,2017,3942,2,13,,,,,,,
Great Victoria Street / Hope Street,February,2017,3911,253,312,,,,,,,
Linenhall Street / Donegall Square South,February,2017,3928,306,306,,,,,,,
Mater Hospital/Crumlin Road,February,2017,3937,51,38,,,,,,,
Millfield / Divis Street,February,2017,3920,147,130,,,,,,,
North Street / Waring Street,February,2017,3917,214,252,,,,,,,
Odyssey / Sydenham Road,February,2017,3921,961,922,,,,,,,
Queens University / Botanic Gardens ,February,2017,3934,474,481,,,,,,,
Queens University / University Road ,February,2017,3933,673,620,,,,,,,
Royal Avenue / Castlecourt,February,2017,3925,223,226,,,,,,,
Royal Victoria Hospital,February,2017,3936,92,114,,,,,,,
Shankill Leisure Centre/ Shankill Road,February,2017,3938,43,30,,,,,,,
Smithfield / Winetavern Street,February,2017,3913,104,56,,,,,,,
St George's Market / Cromac Square,February,2017,3906,254,263,,,,,,,
Titanic Belfast Met,February,2017,3932,881,902,,,,,,,
Victoria Square / Victoria Street,February,2017,3903,282,284,,,,,,,
Waterfront,February,2017,3908,592,606,,,,,,,
Writer's Square / St Anne's Cathedral,February,2017,3931,160,133,,,,,,,
Alfred Street / St Malachy's Church,March,2017,3923,775,742,,,,,,,
Antrim Road / Duncairn Centre,March,2017,3943,120,101,,,,,,,
Arthur Street / Chichester Street,March,2017,3929,867,934,,,,,,,
Bankmore Square / Dublin Road,March,2017,3918,622,584,,,,,,,
Belfast City Hospital Lisburn Rd,March,2017,3935,600,507,,,,,,,
Botanic Avenue / Shaftesbury Square,March,2017,3909,788,752,,,,,,,
Bradbury Place,March,2017,3924,413,276,,,,,,,
Carrick Hill/St Patricks Church,March,2017,3915,246,222,,,,,,,
Castle Place / Royal Avenue,March,2017,3912,805,903,,,,,,,
Cathedral Gardens / York Street,March,2017,3914,301,275,,,,,,,
Central Station / East Bridge Street,March,2017,3930,231,294,,,,,,,
Central Station / Mays Meadow,March,2017,3905,726,785,,,,,,,
City Hall,March,2017,3902,833,816,,,,,,,
College Square East,March,2017,3919,222,178,,,,,,,
Corporation Square,March,2017,3922,935,983,,,,,,,
Cotton Court / Waring Street,March,2017,3926,208,233,,,,,,,
CS Lewis Square,March,2017,3944,536,578,,,,,,,
Donegall Quay,March,2017,3904,776,779,,,,,,,
Dunbar Link / Gordon Street,March,2017,3916,221,225,,,,,,,
Europa Bus Station / Blackstaff Square,March,2017,3910,661,670,,,,,,,
Gasworks (Cromac Street),March,2017,3907,638,594,,,,,,,
Gasworks (Lagan Towpath),March,2017,3927,818,918,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,March,2017,3942,1,13,,,,,,,
Great Victoria Street / Hope Street,March,2017,3911,375,426,,,,,,,
Linenhall Street / Donegall Square South,March,2017,3928,360,342,,,,,,,
Mater Hospital/Crumlin Road,March,2017,3937,32,20,,,,,,,
Millfield / Divis Street,March,2017,3920,175,189,,,,,,,
North Street / Waring Street,March,2017,3917,264,297,,,,,,,
Odyssey / Sydenham Road,March,2017,3921,1160,1081,,,,,,,
Queens University / Botanic Gardens ,March,2017,3934,707,730,,,,,,,
Queens University / University Road ,March,2017,3933,764,714,,,,,,,
Royal Avenue / Castlecourt,March,2017,3925,318,318,,,,,,,
Royal Victoria Hospital,March,2017,3936,128,137,,,,,,,
Shankill Leisure Centre/ Shankill Road,March,2017,3938,49,42,,,,,,,
Smithfield / Winetavern Street,March,2017,3913,118,106,,,,,,,
St George's Market / Cromac Square,March,2017,3906,302,306,,,,,,,
Titanic Belfast Met,March,2017,3932,1191,1211,,,,,,,
Victoria Square / Victoria Street,March,2017,3903,336,349,,,,,,,
Waterfront,March,2017,3908,710,706,,,,,,,
Writer's Square / St Anne's Cathedral,March,2017,3931,195,167,,,,,,,
Alfred Street / St Malachy's Church,April,2017,3923,669,657,,,,,,,
Antrim Road / Duncairn Centre,April,2017,3943,90,88,,,,,,,
Arthur Street / Chichester Street,April,2017,3929,794,864,,,,,,,
Bankmore Square / Dublin Road,April,2017,3918,560,513,,,,,,,
Belfast City Hospital Lisburn Rd,April,2017,3935,565,483,,,,,,,
Botanic Avenue / Shaftesbury Square,April,2017,3909,707,682,,,,,,,
Bradbury Place,April,2017,3924,489,339,,,,,,,
Carrick Hill/St Patricks Church,April,2017,3915,177,177,,,,,,,
Castle Place / Royal Avenue,April,2017,3912,699,755,,,,,,,
Cathedral Gardens / York Street,April,2017,3914,257,276,,,,,,,
Central Station / East Bridge Street,April,2017,3930,140,223,,,,,,,
Central Station / Mays Meadow,April,2017,3905,602,610,,,,,,,
City Hall,April,2017,3902,765,698,,,,,,,
College Square East,April,2017,3919,185,153,,,,,,,
Corporation Square,April,2017,3922,785,848,,,,,,,
Cotton Court / Waring Street,April,2017,3926,209,222,,,,,,,
CS Lewis Square,April,2017,3944,611,688,,,,,,,
Donegall Quay,April,2017,3904,717,677,,,,,,,
Dunbar Link / Gordon Street,April,2017,3916,189,195,,,,,,,
Europa Bus Station / Blackstaff Square,April,2017,3910,582,596,,,,,,,
Gasworks (Cromac Street),April,2017,3907,545,504,,,,,,,
Gasworks (Lagan Towpath),April,2017,3927,737,792,,,,,,,
Girdwood Community Hub/ Cliftonville Park Avenue,April,2017,3942,,,,,,,,,
Great Victoria Street / Hope Street,April,2017,3911,439,471,,,,,,,
Grosvenor Road/ Servia Street,April,2017,3940,23,51,,,,,,,
Linenhall Street / Donegall Square South,April,2017,3928,321,284,,,,,,,
Mater Hospital/Crumlin Road,April,2017,3937,44,32,,,,,,,
Millfield / Divis Street,April,2017,3920,104,127,,,,,,,
North Street / Waring Street,April,2017,3917,273,300,,,,,,,
Odyssey / Sydenham Road,April,2017,3921,1087,1024,,,,,,,
Queens University / Botanic Gardens ,April,2017,3934,642,671,,,,,,,
Queens University / University Road ,April,2017,3933,611,582,,,,,,,
Royal Avenue / Castlecourt,April,2017,3925,243,247,,,,,,,
Royal Victoria Hospital,April,2017,3936,71,63,,,,,,,
Shankill Leisure Centre/ Shankill Road,April,2017,3938,28,34,,,,,,,
Smithfield / Winetavern Street,April,2017,3913,62,78,,,,,,,
St George's Market / Cromac Square,April,2017,3906,215,230,,,,,,,
Titanic Belfast Met,April,2017,3932,910,903,,,,,,,
Victoria Square / Victoria Street,April,2017,3903,359,365,,,,,,,
Waterfront,April,2017,3908,577,578,,,,,,,
Writer's Square / St Anne's Cathedral,April,2017,3931,142,118,,,,,,,
Alfred Street / St Malachy's Church,May,2017,3923,933,933,,,,,,,
Antrim Road / Duncairn Centre,May,2017,3943,128,134,,,,,,,
Arthur Street / Chichester Street,May,2017,3929,866,915,,,,,,,
Bankmore Square / Dublin Road,May,2017,3918,720,676,,,,,,,
