Place name,Month,Year,Station number,Rentals,Returns,,,,,,,
Central Station / Mays Meadow,July,2015,3905,1088,945,,,,,,,
City Hall,July,2015,3902,956,928,,,,,,,
College Square East,July,2015,3919,200,181,,,,,,,
Corporation Square,July,2015,3922,818,890,,,,,,,
Cotton Court / Waring Street,July,2015,3926,355,353,,,,,,,
Donegall Quay,July,2015,3904,912,861,,,,,,,
Dunbar Link / Gordon Street,July,2015,3916,209,206,,,,,,,
Europa Bus Station / Blackstaff Square,July,2015,3910,578,628,,,,,,,
Gasworks (Cromac Street),July,2015,3907,884,879,,,,,,,
Gasworks (Lagan Towpath),July,2015,3927,940,1024,,,,,,,
Great Victoria Street / Hope Street,July,2015,3911,479,448,,,,,,,
Linenhall Street / Donegall Square South,July,2015,3928,425,391,,,,,,,
Millfield / Divis Street,July,2015,3920,314,290,,,,,,,
North Street / Waring Street,July,2015,3917,310,377,,,,,,,
Odyssey / Sydenham Road,July,2015,3921,1975,1991,,,,,,,
Royal Avenue / Castlecourt,July,2015,3925,294,362,,,,,,,
Smithfield / Winetavern Street,July,2015,3913,164,130,,,,,,,
St George's Market / Cromac Square,July,2015,3906,446,435,,,,,,,
Victoria Square / Victoria Street,July,2015,3903,455,526,,,,,,,
Waterfront,July,2015,3908,906,913,,,,,,,
Writer's Square / St Anne's Cathedral,July,2015,3931,288,289,,,,,,,
Alfred Street / St Malachy's Church,August,2015,3923,749,728,,,,,,,
Arthur Street / Chichester Street,August,2015,3929,878,906,,,,,,,
Bankmore Square / Dublin Road,August,2015,3918,602,584,,,,,,,
Botanic Avenue / Shaftesbury Square,August,2015,3909,1148,1125,,,,,,,
Bradbury Place,August,2015,3924,1026,967,,,,,,,
Carrick Hill/St Patricks Church,August,2015,3915,281,241,,,,,,,
Castle Place / Royal Avenue,August,2015,3912,742,838,,,,,,,
Cathedral Gardens / York Street,August,2015,3914,280,262,,,,,,,
Central Station / East Bridge Street,August,2015,3930,398,395,,,,,,,
Central Station / Mays Meadow,August,2015,3905,952,867,,,,,,,
