"NAME","ADDRESS","POSTCODE","LONGITUDE","LATITUDE"
"North Queen Street Play Centre","Henry Street","BT15 1DJ",-5.928828145108929,54.608771962879175
"Avoniel Play Centre","Avoniel Road","BT5 4SE",-5.895887141098462,54.594106279048354
"Olympia Play Centre","Boucher Road","BT12 6HR",-5.959075373710722,54.58337337563054
"Loop River Play Centre","Courtney Hall 76a Cregagh Road","BT6 9EQ",-5.89817819742892,54.583274240423144
"Whiterock Play Centre","Whiterock Close Whiterock Road","BT12 5HQ",-5.9858114758524374,54.59078466349624
"Ballysillan/Benview Play Centre","Benview Avenue","BT14 8HD",-5.970673146412839,54.63042454729408
